constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,vote_share_pct_imputed,won,source,source_url,fetched_at,candidate_id
GBA-16,2015,5,Atiqullah,PTI,1486.0,9.75,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,atiqullah
GBA-16,2020,1,Muhammad Anwar,PML-N,6415.0,71.35,True,True,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached,muhammad-anwar
GBA-16,2020,2,Attaullah,Independent,2576.0,28.65,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,attaullah
GBA-17,2009,1,Rehmat Khaliq,JUI-F,4403.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,rehmat-khaliq
GBA-17,2015,1,Barkat Jamil,PML-N,3622.0,31.56,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,barkat-jamil
GBA-17,2015,2,Abdul Aziz,Independent,3162.0,27.56,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,abdul-aziz
GBA-17,2015,3,Atta Ullah,Independent,3068.0,26.74,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,atta-ullah
GBA-17,2015,4,Dilbar Khan,PPP,2031.0,17.69,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,dilbar-khan
GBA-17,2015,5,Atiq Ullah,PTI,1558.0,13.58,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached,atiq-ullah
GBA-17,2020,1,Rehmat Khaliq,JUI-F,5389.0,51.25,True,True,wikipedia_2020_summary+wikipedia_constituency_page,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,rehmat-khaliq
GBA-17,2020,2,Haider Khan,PTI,5126.0,48.75,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,kacho-imtiaz-haider-khan
GBA-18,2009,1,Gulbar Khan,JUI-F,2741.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached,gulbar-khan
GBA-18,2015,1,Muhammad Wakeel,PML-N,3761.0,52.04,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached,muhammad-wakeel
GBA-18,2015,2,Gulbar Khan,JUI-F,2438.0,33.74,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached,gulbar-khan
GBA-18,2015,3,Shakrat Khan,PPP,828.0,11.46,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached,shakrat-khan
GBA-18,2015,4,Dilbar Khan,PTI,88.0,1.22,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached,dilbar-khan
GBA-18,2020,1,Gulbar Khan,PTI,6793.0,53.16,True,True,wikipedia_2020_summary+wikipedia_constituency_page,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,gulbar-khan
GBA-18,2020,2,Malik Kifayat Ur Rehman,Independent,5986.0,46.84,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,malik-kifayat-ur-rehman
GBA-19,2009,1,Karam Ali Shah,PPP,,,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,karam-ali-shah
GBA-19,2015,1,Nawaz Khan Naji,BNF-N,5259.0,26.99,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,nawaz-khan-naji
GBA-19,2015,2,Shakeel Ahmad,PML-N,5158.0,26.98,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,shakeel-ahmad
GBA-19,2015,3,Zaffar Muhammad,Independent,5135.0,26.35,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,zaffar-muhammad
GBA-19,2015,4,Niamat Shah,PTI,1667.0,8.55,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,niamat-shah
GBA-19,2015,5,Syed Madad Shah,APML,1010.0,5.18,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,madad-shah
GBA-19,2015,6,Badr-U-Din,PPP,909.0,4.66,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached,badr-u-din
GBA-19,2020,1,Nawaz Khan Naji,BNF-N,6208.0,55.55,True,True,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,nawaz-khan-naji
GBA-19,2020,2,Pir Jalal Ali Shah,PPP,4967.0,44.45,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,jalal-ali-shah
GBA-2,2009,1,Deedar Ali,Independent,5486.0,25.34,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,deedar-ali
GBA-2,2009,2,Jamil Ahmad,PPP,4782.0,22.09,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,jamil-ahmad
GBA-2,2009,3,Hafiz Hafeezur Rehman,PML-N,4563.0,21.08,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,hafeezur-rehman
GBA-2,2009,4,Muhammad Aslam,PML-Q,2180.0,10.07,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,muhammad-aslam
GBA-2,2009,5,Altaf Hussain,MQM,281.0,1.27,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,altaf-hussain
GBA-2,2015,1,Hafiz Hafeez Ur Rehman,PML-N,10739.0,48.29,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,hafeez-ur-rehman
GBA-2,2015,2,Jamil Ahmad,PPP,7176.0,32.27,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,jamil-ahmad
GBA-2,2015,3,Fatehullah Khan,PTI,2561.0,11.51,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,fatehullah-khan
GBA-2,2015,4,Habib Ur Rehman,JI,844.0,3.79,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,habib-ur-rehman
GBA-2,2015,5,Faqeer Shah,Independent,683.0,3.62,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,faqeer-shah
GBA-2,2015,6,Karim Khan,APML,583.0,2.62,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,karim-khan
GBA-2,2015,7,Tariq Hussain,MQM,278.0,1.25,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,tariq-hussain
GBA-2,2015,8,Parveen Ghazi,Independent,16.0,0.07,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,parveen-ghazi
GBA-2,2015,9,Muhammad Mazhar Abbas,MWM,8.0,0.03,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,muhammad-mazhar-abbas
GBA-2,2015,10,Shukat Alam,PAT,3.0,0.01,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,shukat-alam
GBA-2,2015,11,Moulana Mujahid,JUI-F,1.0,0.0,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,moulana-mujahid
GBA-2,2020,1,Fatehullah Khan,PTI,6860.0,27.16,False,True,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,fatehullah-khan
GBA-2,2020,2,Jamil Ahmad,PPP,6764.0,27.14,False,False,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,jamil-ahmad
GBA-2,2020,3,Hafiz Hafeezur Rehman,PML-N,5820.0,23.89,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,hafeezur-rehman
GBA-2,2020,4,Nasir Mir,PML-Q,1540.0,6.32,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,nasir
GBA-2,2020,5,Ghulam Shah,Independent,1355.0,5.56,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,ghulam-shah
GBA-2,2020,6,Habib ur Rehman,JI,825.0,3.39,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,habib-ur-rehman
GBA-2,2020,7,Ashfaq Hussain,Independent,704.0,2.89,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,ashfaq-hussain
GBA-2,2020,8,Faqeer Shah,ITP,494.0,2.03,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached,faqeer-shah
GBA-20,2009,1,Ali Madad Sher,PPP,3206.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached,ali-madad-sher
GBA-20,2015,1,Fida Khan,Independent,4991.0,24.74,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached,fida-khan
GBA-20,2015,2,Sultan Madad,PML-N,3362.0,16.66,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached,sultan-madad
GBA-20,2015,3,Nadir Khan,Independent,2423.0,12.01,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached,nadir-khan
