constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,won,source_url,fetched_at
GBA-7,2015,6,Muzzafar Hussain,Independent,265,2.27,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2015,7,Kamal Hussain,APML,179,1.53,False,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-7,2020,1,Raja Zakarya Maqoon,Pakistan Tehreek-e-Insaf,5290,,True,https://en.wikipedia.org/wiki/GBA-7_Skardu-I,cached
GBA-8,2009,1,Sheikh Nisar,PPPP,8077,44.61,True,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2009,2,Syed Muhammad Ali Shah,Independent,5036,27.45,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2009,3,Ghulam Nabi,Independent,4608,25.12,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2009,4,Nisar Khan,MQM,205,1.18,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,1,Kacho Imtiaz Haider Khan,MWM,10411,42.58,True,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,2,Syed Mohammad Ali Shah,PML-N,4841,19.83,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,3,Syed Mohammad Abbas Rizvi,ITP,2945,12.04,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,4,Nisar Hussain Sarbaz,PPPP,2485,10.16,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,5,Muhammad Zakir,PTI,445,1.82,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2015,6,Farman Ali,Independent,381,1.56,False,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-8,2020,1,Muhammad Maisam Kazim,Majlis Wahdat-e-Muslimeen,7998,,True,https://en.wikipedia.org/wiki/GBA-8_Skardu-II,cached
GBA-9,2009,1,Wazir Shakeel,Pakistan Peoples Party,6432,,True,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,1,Fida Muhammad Nashad,PML-N,6246,50.1,True,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,2,Wazir Muhammad Saleem,MWM,5554,44.55,False,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,3,Ghulam Raza Haidri,PPP,462,3.71,False,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,4,Syed Mohammad Abbas Rizvi,ITP,48,0.39,False,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,5,Ali Kazim,PTI,13,0.1,False,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2015,6,Syed Abbas Almosvi,APML,13,0.1,False,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-9,2020,1,Wazir Muhammad Saleem,Pakistan Tehreek-e-Insaf,6865,,True,https://en.wikipedia.org/wiki/GBA-9_Skardu-III,cached
GBA-10,2009,1,Wazir Hussain,Pakistan Peoples Party,3578,,True,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,1,Capt. (r) Sikander,ITP,4949,32.44,True,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,2,Raja Nasir Ali Khan,MWM,4933,32.34,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,3,Wazir Hassan,PPP,3057,20.04,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,4,Ghulam Abbas,PML-N,1522,9.98,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,5,Manzoor Hussain,Independent,383,2.51,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,6,Jalil Haider,Independent,148,0.97,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,7,Ali Hassan,MQM,134,0.88,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,8,Najaf Ali,PTI,118,0.77,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2015,9,Syed Abbas Almosvi,APML,10,0.07,False,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-10,2020,1,Raja Nasir Ali Khan,Independent,5124,,True,https://en.wikipedia.org/wiki/GBA-10_Skardu-IV,cached
GBA-11,2009,1,Syed Muhammad Ali Shah Rizvi,Pakistan Peoples Party,3145,,True,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,1,Iqbal Hassan,PML-N,5165,40.86,True,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,2,Syed Amjad Ali Zaidi,PTI,4985,39.44,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,3,Shujaat Hussain Mesam,MWM,2424,19.18,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,4,Kazim Saleem,Independent,24,0.19,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,5,Syed Akbar Shah,ITP,18,0.14,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,6,Muzaffar Hussain,APML,12,0.09,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,7,Niaz Ali,PPP,9,0.07,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2015,8,Ghulam Muhhamd Parvi,Independent,3,0.02,False,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-11,2020,1,Syed Amjad Ali Zaidi,Pakistan Tehreek-e-Insaf,6858,,True,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached
GBA-12,2009,1,Raja Muhammad Azam Khan,MQM,10520,54.4,True,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2009,2,Imran Nadeem,PPP,8818,45.59,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2015,1,Imran Nadeem,PPP,10422,46.05,True,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2015,2,Raja Azam Khan,PML-N,9930,43.88,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2015,3,Dr Muhammad Ali,MWM,2183,9.65,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2015,4,Abid Hussain,PAT,97,0.43,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2020,1,Raja Azam Khan Amacha,PTI,10621,,True,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2020,2,Imran Nadeem,PPP,8919,,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2020,3,Muhammad Tahir,PML N,5433,,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-12,2020,4,Muhammad Hassan,PML Q,488,,False,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached
GBA-13,2009,1,Abdul Hameed Khan,PPP,3771,37.77,True,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2009,2,Rana Farman Ali,PML(N),3546,35.52,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2009,3,Khalid Khurshid,Independent,2667,26.71,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,1,Rana Farman Ali,PML(N),5942,36.95,True,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,2,Khalid Khurshid,Independent,4019,24.99,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,3,Abdul Hameed Khan,PPP,3808,23.68,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,4,Ghulam Abbas,Independent,1750,10.88,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,5,Ghulam Akbar,MWM,453,2.82,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,6,Sanaullah,PTI,49,0.31,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2015,7,Inayatullah Mir,JUI (F),4,0.03,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2020,1,Khalid Khurshid,PTI,5297,32.5,True,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2020,2,Rana Farman Ali,PML(N),4033,24.75,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2020,3,Abdul Hameed Khan,PPP,3546,21.75,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-13,2020,4,Ghulam Abbas,Independent,2251,13.81,False,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached
GBA-14,2009,1,Muhammad Naseer,Pakistan People's Party,1915,,True,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached
GBA-14,2015,1,Barkat Jamil,Pakistan Muslim League (N),,,True,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached
GBA-14,2020,1,Shamsul Haq Lone,Pakistan Tehreek-e-Insaf,5237,,True,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached
GBA-15,2009,1,Bashir Ahmed,Pakistan Muslim League (Q),2356,,True,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached
GBA-15,2015,1,Haji Shah Baig,JUI-F,3713,,True,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached
GBA-15,2015,2,Fida Ullah,PPP,3557,,False,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached
GBA-15,2015,3,Noshad Alam,PTI,3534,,False,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached
GBA-15,2020,1,Haji Shah Baig,Independent,2779,,True,https://en.wikipedia.org/wiki/GBA-15_Diamer-I,cached
GBA-16,2009,1,Janbaz Khan,Pakistan Muslim League (N),2403,,True,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2015,1,Janbaz Khan,PML-N,3327,21.83,True,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2015,2,Abdul Aziz,Independent,3109,20.4,False,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2015,3,Attaullah,Independent,2918,19.15,False,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2015,4,Dilbar Khan,PPP,2011,13.19,False,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2015,5,Atiqullah,PTI,1486,9.75,False,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-16,2020,1,Muhammad Anwar,Pakistan Muslim League (N),6415,,True,https://en.wikipedia.org/wiki/GBA-16_Diamer-II,cached
GBA-17,2009,1,Rehmat Khaliq,Jamiat Ulema-e-Islam (F),4403,,True,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2015,1,Barkat Jamil,PML-N,3622,31.56,True,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2015,2,Abdul Aziz,Independent,3162,27.56,False,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2015,3,Atta Ullah,Independent,3068,26.74,False,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2015,4,Dilbar Khan,PPP,2031,17.69,False,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2015,5,Atiq Ullah,PTI,1558,13.58,False,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-17,2020,1,Rehmat Khaliq,Jamiat Ulema-e-Islam (F),5074,,True,https://en.wikipedia.org/wiki/GBA-17_Diamer-III,cached
GBA-18,2009,1,Gulbar Khan,Jamiat Ulema-e-Islam (F),2741,,True,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-18,2015,1,Muhammad Wakeel,PML-N,3761,52.04,True,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-18,2015,2,Gulbar Khan,JUI F,2438,33.74,False,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-18,2015,3,Shakrat Khan,PPP,828,11.46,False,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-18,2015,4,Dilbar Khan,PTI,88,1.22,False,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-18,2020,1,Gulbar Khan,Pakistan Tehreek-e-Insaf,4401,,True,https://en.wikipedia.org/wiki/GBA-18_Diamer-IV,cached
GBA-19,2009,1,Karam Ali Shah,Pakistan People's Party,,,True,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,1,Nawaz Khan Naji,BNF,5259,26.99,True,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,2,Shakeel Ahmad,PML-N,5158,26.98,False,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,3,Zaffar Muhammad,Independent,5135,26.35,False,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,4,Niamat Shah,PTI,1667,8.55,False,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,5,Syed Madad Shah,APML,1010,5.18,False,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-19,2015,6,Badr-U-Din,PPP,909,4.66,False,https://en.wikipedia.org/wiki/GBA-19_Ghizer-I,cached
GBA-20,2009,1,Ali Madad Sher,Pakistan Peoples Party,3206,,True,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached
GBA-20,2015,1,Fida Khan,Independent,4991,24.74,True,https://en.wikipedia.org/wiki/GBA-20_Ghizer-II,cached
